Name,OtherNames,SpType,r_SpType,Adopt,3.6mag,e_3.6mag,f_3.6mag,4.5mag,e_4.5mag,f_4.5mag,5.8mag,e_5.8mag,f_5.8mag,8.0mag,e_8.0mag,f_8.0mag,24mag,e_24mag,f_24mag,W1mag,e_W1mag,f_W1mag,W2mag,e_W2mag,f_W2mag,W3mag,e_W3mag,f_W3mag,W4mag,e_W4mag,f_W4mag,Exc4.5,Exc8.0,Exc24,ExcW2,ExcW3,ExcW4,DiskType
2MASS J16164539-2333413,,"M5,M5.75","17,25",M5.5,,,out,,,out,,,out,,,out,,,out,12.62,0.03,,12.33,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16165062-2551466,"HD 146331,HIP 79771",B9V,1,B9V,,,out,7.03,0.02,,,,out,7.1,0.03,,7.07,0.04,,6.99,0.03,,7.01,0.02,,7.03,0.03,,7.01,0.11,,N,N,N,N,N,N,
2MASS J16165158-2048537,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,10.95,0.02,,10.75,0.02,,10.68,0.12,,,,nodet,,,,N,N,,
2MASS J16165430-2459590,,M4.5,2,M4.5,,,out,,,out,,,out,,,out,,,out,10.61,0.02,,10.46,0.02,,10.28,0.08,,,,nodet,,,,N,N,,
2MASS J16165876-2118147,"HD 146416,HIP 79785",B9V,1,B9V,,,out,6.51,0.02,,,,out,6.58,0.03,,6.5,0.04,,6.5,0.04,,6.51,0.02,,6.54,0.02,,6.46,0.06,,N,N,N,N,N,N,
2MASS J16171901-2137129,,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,out,12.34,0.03,,12.02,0.03,,9.49,0.05,,7.42,0.13,,,,,N,Y,Y,full
2MASS J16172505-2350380,,M5,19,M5,,,out,,,out,,,out,,,out,,,out,12.4,0.02,,12.1,0.03,,,,false,,,nodet,,,,N,,,
2MASS J16173103-2050469,,M7,17,M7,,,out,,,out,,,out,,,out,,,out,11.75,0.02,,11.48,0.02,,11.62,0.26,,,,nodet,,,,N,,,
2MASS J16173138-2303360,"HD 146516,Sco PMS 60","G0,G1V,G7V","12,1,5",G1V,7.81,0.02,,7.84,0.02,,,,out,7.87,0.03,,7.75,0.04,,7.86,0.03,,7.89,0.02,,7.83,0.02,,7.84,0.19,,N,N,N,N,N,N,
2MASS J16173236-2040362,,M6,17,M6,,,out,,,out,,,out,,,out,,,out,12.97,0.03,,12.65,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16173786-2119159,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,11.09,0.02,,10.85,0.02,,10.79,0.12,,,,nodet,,,,N,N,,
2MASS J16174366-2111552,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,13.21,0.03,,13.03,0.04,,,,nodet,,,nodet,,,,N,,,
2MASS J16174539-2353360,,M6,19,M6,12.45,0.02,,12.35,0.02,,12.32,0.03,,12.38,0.05,,,,nodet,12.53,0.03,,12.25,0.03,,,,false,,,nodet,N,N,,N,,,
2MASS J16174583-2414436,,M5.25,2,M5.25,,,out,,,out,,,out,,,out,,,out,12.39,0.03,,12.06,0.03,,,,nodet,,,nodet,,,,N,,,
2MASS J16175902-2428067,,M3,2,M3,,,out,,,out,,,out,,,out,,,out,10.23,0.03,,10.09,0.02,,9.93,0.07,,,,nodet,,,,N,N,,
2MASS J16180546-3139064,"HD 146569,HIP 79860",A0V,8,A0V,,,out,7.88,0.02,,,,out,7.91,0.03,,7.84,0.04,,7.84,0.03,,7.82,0.02,,7.86,0.02,,7.78,0.17,,N,N,N,N,N,N,
2MASS J16181107-2911125,,G8IVe,5,G8IVe,,,out,8.35,0.02,,,,out,8.33,0.03,,8.34,0.05,,8.32,0.02,,8.34,0.02,,8.28,0.03,,7.79,0.17,,N,N,N,N,N,N,
2MASS J16181201-2413326,,M5,17,M5,,,out,,,out,,,out,,,out,,,out,11.38,0.03,,11.13,0.02,,,,false,,,nodet,,,,N,,,
2MASS J16181568-2347084,,M5.5,17,M5.5,,,out,,,out,,,out,,,out,,,out,10.51,0.02,,10.02,0.02,,8.31,0.03,,6.85,0.11,,,,,Y,Y,Y,full
2MASS J16181600-2437266,,M4,17,M4,,,out,,,out,,,out,,,out,,,out,10.38,0.02,,10.13,0.02,,10.08,0.08,,,,nodet,,,,N,N,,
2MASS J16181616-2802300,"HD 146606,HIP 79878",A0V,8,A0V,,,out,7.06,0.02,,,,out,7.12,0.03,,5.83,0.04,,7.05,0.03,,7.08,0.02,,6.85,0.02,,5.96,0.05,,N,N,Y,N,N,Y,debris/ev trans
2MASS J16181618-2619080,,"M5.5,M4.5","16,2",M4.5,,,out,,,out,,,out,,,out,,,out,10.69,0.02,,10.45,0.02,,9.7,0.12,,,,false,,,,N,Y?,,evolved?
2MASS J16181904-2028479,,M4.75,17,M4.75,,,out,,,out,,,out,,,out,,,out,10.22,0.02,,9.75,0.02,,8.72,0.03,,7.04,0.12,,,,,Y,Y,Y,evolved
